Side, Time
RN,16179613
RF,16181982
LN,16182008
LF,16182114
LN,16182242
LF,16182369
RN,16182400
RF,16182734
LN,16182764
LF,16182833
LN,16182979
LF,16183121
RN,16183156
RF,16183484
LN,16183518
LF,16183568
LN,16183710
LF,16183871
RN,16183908
RF,16184231
LN,16184269
LF,16184311
LN,16184435
RN,16184457
RF,16184458
RN,16184459
RF,16184521
LF,16184618
RN,16184658
RF,16184977
LN,16185017
LF,16185057
LN,16185168
RN,16185183
RF,16185184
RN,16185188
RF,16185253
LF,16185364
RN,16185405
RF,16185721
LN,16185763
LF,16185826
LN,16185827
LF,16185828
LN,16185854
RN,16185904
RF,16185974
LF,16186109
RN,16186152
RF,16186465
LN,16186508
RN,16186611
RF,16186697
LF,16186853
RN,16186897
RF,16187208
LN,16187253
RN,16187342
RF,16187343
RN,16187344
RF,16187418
LF,16187596
RN,16187642
RF,16187950
LN,16187995
RN,16188051
RF,16188138
LF,16188338
RN,16188386
RF,16188692
LN,16188736
RN,16188791
RF,16188818
RN,16188819
RF,16188821
RN,16188823
RF,16188824
LF,16189080
RN,16189129
RF,16189433
LN,16189478
LF,16189574
LN,16189700
LF,16189822
RN,16189872
RF,16190173
LN,16190220
LF,16190314
LN,16190439
LF,16190562
RN,16190614
RF,16190913
LN,16190962
LF,16191051
RN,16191097
LN,16191141
RF,16191234
LF,16191302
RN,16191356
RF,16191651
LN,16191703
RN,16191804
RF,16191967
LF,16192041
RN,16192098
RF,16192390
LN,16192442
RN,16192515
RF,16192712
LF,16192780
RN,16192838
RF,16193128
LN,16193181
RN,16193227
LF,16193324
LN,16193400
RF,16193459
LF,16193519
RN,16193579
RF,16193866
LN,16193921
RN,16193963
LF,16194036
LN,16194125
RF,16194216
LF,16194257
RN,16194319
RF,16194603
LN,16194660
RN,16194730
LF,16194754
LN,16194880
RF,16194951
LF,16194995
RN,16195058
RF,16195340
LN,16195399
RN,16195458
LF,16195512
LN,16195562
RF,16195676
LF,16195732
RN,16195797
RF,16196076
LN,16196136
RN,16196212
LF,16196233
LN,16196370
RF,16196416
LF,16196469
RN,16196536
RF,16196812
LN,16196874
RN,16196935
LF,16196961
LN,16197088
RF,16197171
LF,16197205
RN,16197275
RF,16197547
LN,16197612
RN,16197675
LF,16197733
LN,16197734
LF,16197736
LN,16197841
RF,16197898
LF,16197941
RN,16198013
RF,16198282
LN,16198348
RN,16198410
LF,16198486
LN,16198587
RF,16198638
LF,16198677
RN,16198751
RF,16199017
LN,16199085
RN,16199147
LF,16199211
LN,16199324
RF,16199400
LF,16199413
RN,16199489
RF,16199752
LN,16199821
RN,16199883
LF,16199980
LN,16200063
RF,16200130
LF,16200148
RN,16200226
RF,16200486
LN,16200557
RN,16200615
LF,16200708
LN,16200780
RF,16200882
LF,16200883
RN,16200964
RF,16201220
LN,16201293
RN,16201370
LF,16201434
LN,16201548
RF,16201611
LF,16201617
RN,16201700
RF,16201953
LN,16202029
RN,16202091
LF,16202165
LN,16202293
LF,16202352
RF,16202353
RN,16202437
RF,16202686
LN,16202764
RN,16202852
LF,16202888
LN,16203015
LF,16203086
RF,16203099
RN,16203174
RF,16203419
LN,16203500
RN,16203566
LF,16203651
LN,16203779
LF,16203819
RF,16203832
RN,16203911
RF,16204152
LN,16204235
RN,16204312
LF,16204379
LN,16204502
LF,16204553
RF,16204572
RN,16204647
RF,16204884
LN,16204970
RN,16205040
LF,16205121
LN,16205249
LF,16205287
RF,16205306
RN,16205383
RF,16205616
LN,16205705
RN,16205786
LF,16205847
LN,16205982
LF,16206019
RF,16206039
RN,16206120
RF,16206347
LN,16206439
RN,16206513
LF,16206583
LN,16206724
LF,16206750
RF,16206773
RN,16206858
RF,16207077
LN,16207174
RN,16207247
LF,16207306
LN,16207470
LF,16207481
RF,16207506
RN,16207595
RF,16207806
LN,16207910
RN,16207996
LF,16208039
LN,16208215
LF,16208233
RF,16208239
RN,16208333
RF,16208534
LN,16208645
RN,16208721
LF,16208780
RF,16208971
RN,16209071
RF,16209261
LN,16209379
RN,16209455
LF,16209512
RF,16209703
RN,16209810
RF,16209988
LN,16210114
RN,16210185
LF,16210253
RF,16210435
RN,16210549
RF,16210713
LN,16210848
RN,16210921
LF,16210985
RF,16211167
RN,16211292
RF,16211434
LN,16211583
RN,16211658
LF,16211718
LN,16211896
RF,16211899
LF,16211921
RN,16212041
RF,16212151
LN,16212321
RN,16212391
LF,16212445
LN,16212631
RF,16212631
LF,16212647
RN,16212807
RF,16212818
RN,16212820
RF,16212848
RN,16212849
RF,16212850
LN,16213057
RN,16213121
LF,16213181
RF,16213363
LN,16213803
RN,16213854
LF,16213915
RF,16214094
LN,16214544
RN,16214587
LF,16214649
RF,16214826
LN,16215291
RN,16215325
LF,16215378
RF,16215559
LN,16215567
LF,16215590
LN,16216045
RN,16216053
LF,16216112
RF,16216294
LN,16216301
LF,16216314
RN,16216785
LN,16216811
LF,16216839
RF,16217032
RN,16217518
LN,16217756
RF,16217775
LF,16217780
RN,16218254
LN,16218313
LF,16218314
LN,16218315
LN,16218317
LF,16218321
RF,16218531
RN,16219019
LN,16219045
LF,16219063
RF,16219288
RN,16219753
LN,16219916
LF,16219964
RF,16220015
RN,16220472
LN,16220531
LF,16220590
LN,16220640
LF,16220692
RF,16220747
RN,16221218
LN,16221258
LF,16221380
LN,16221381
LF,16221382
RF,16221478
RN,16221953
RF,16222206
RN,16222687
RF,16222938
RN,16223420
RF,16223659
RN,16224158
